Game Length,Player Movement,Die Rolls,Snakes and Ladders
52,"[0, 6, 8, 11, 13, 18, 20, 23, 84, 88, 94, 79, 83, 88, 73, 75, 78, 84, 90, 91, 94, 79, 82, 24, 25, 31, 37, 40, 46, 52, 55, 60, 61, 66, 69, 70, 75, 78, 83, 84, 86, 88, 91, 92, 94, 79, 82, 83, 89, 94, 96, 97, 100]","[6, 2, 3, 2, 5, 2, 3, 5, 4, 6, 4, 4, 5, 5, 2, 3, 6, 6, 1, 3, 4, 3, 5, 1, 6, 6, 3, 6, 6, 3, 5, 1, 5, 3, 1, 5, 3, 5, 1, 2, 2, 3, 1, 2, 4, 3, 1, 6, 5, 2, 1, 3]",L-28 S-98 S-93 S-98 S-87 S-98 
45,"[0, 6, 31, 37, 41, 46, 50, 55, 61, 67, 70, 75, 77, 83, 24, 26, 32, 35, 41, 44, 47, 49, 34, 40, 43, 48, 52, 56, 19, 25, 27, 30, 31, 33, 39, 44, 47, 52, 55, 59, 61, 67, 70, 74, 76, 100]","[6, 3, 6, 4, 5, 4, 5, 6, 6, 3, 5, 2, 6, 4, 2, 6, 3, 6, 3, 3, 2, 5, 6, 3, 5, 4, 4, 6, 6, 2, 3, 1, 2, 6, 5, 3, 5, 3, 4, 2, 6, 3, 4, 2, 4]",L-9 S-87 S-54 S-62 L-80 
14,"[0, 6, 11, 12, 18, 20, 25, 84, 89, 91, 92, 75, 77, 79, 100]","[6, 5, 1, 6, 2, 5, 3, 5, 2, 1, 3, 2, 2, 1]",L-28 S-95 L-80 
45,"[0, 14, 16, 18, 23, 27, 30, 32, 38, 39, 44, 46, 49, 50, 34, 37, 42, 48, 50, 52, 53, 34, 40, 44, 50, 34, 38, 42, 46, 49, 67, 68, 74, 76, 78, 83, 84, 90, 73, 76, 81, 82, 86, 90, 75, 100]","[4, 2, 2, 5, 4, 3, 2, 6, 1, 5, 2, 3, 1, 4, 3, 5, 6, 2, 2, 1, 1, 6, 4, 6, 4, 4, 4, 4, 3, 2, 1, 6, 2, 2, 5, 1, 6, 3, 3, 5, 1, 4, 4, 5, 5]",L-4 S-54 S-54 S-54 L-51 S-93 S-95 L-80 
30,"[0, 38, 41, 42, 43, 48, 34, 37, 40, 46, 47, 48, 34, 37, 39, 40, 43, 46, 47, 67, 68, 73, 78, 81, 83, 84, 86, 90, 73, 79, 100]","[1, 3, 1, 1, 5, 6, 3, 3, 6, 1, 1, 6, 3, 2, 1, 3, 3, 1, 4, 1, 5, 5, 3, 2, 1, 2, 4, 3, 6, 1]",L-1 S-54 S-54 L-51 S-93 L-80 
62,"[0, 5, 11, 14, 18, 23, 29, 35, 37, 41, 46, 47, 49, 34, 40, 44, 49, 53, 56, 60, 60, 19, 24, 29, 30, 33, 35, 38, 44, 49, 67, 73, 78, 79, 84, 88, 91, 92, 73, 75, 77, 83, 24, 84, 89, 73, 79, 82, 85, 86, 90, 92, 79, 83, 84, 88, 89, 75, 81, 86, 92, 97, 100]","[5, 6, 3, 4, 5, 6, 6, 2, 4, 5, 1, 2, 5, 6, 4, 5, 4, 3, 4, 4, 2, 5, 5, 1, 3, 2, 3, 6, 5, 2, 6, 5, 1, 5, 4, 3, 1, 1, 2, 2, 6, 4, 4, 5, 4, 6, 3, 3, 1, 4, 2, 6, 4, 1, 4, 1, 6, 6, 5, 6, 5, 3]",S-54 S-64 S-62 L-51 S-93 S-87 L-28 S-93 S-98 S-95 
126,"[0, 38, 39, 40, 45, 49, 55, 57, 58, 19, 20, 24, 27, 32, 37, 42, 46, 52, 34, 38, 41, 43, 46, 49, 50, 55, 58, 63, 67, 68, 74, 78, 83, 24, 30, 35, 36, 39, 44, 50, 56, 60, 60, 19, 22, 24, 27, 29, 30, 33, 37, 43, 48, 34, 36, 37, 41, 45, 49, 67, 91, 96, 97, 3, 6, 11, 13, 16, 20, 25, 26, 29, 34, 37, 42, 46, 67, 73, 79, 83, 89, 91, 96, 2, 7, 10, 11, 7, 8, 31, 34, 38, 41, 43, 45, 49, 34, 36, 40, 42, 44, 50, 53, 58, 60, 61, 19, 24, 26, 30, 36, 38, 44, 48, 50, 53, 58, 63, 69, 75, 81, 85, 86, 92, 96, 97, 100]","[1, 1, 1, 5, 4, 6, 2, 1, 4, 1, 4, 3, 5, 5, 5, 4, 6, 2, 4, 3, 2, 3, 3, 1, 5, 3, 5, 4, 1, 6, 4, 5, 4, 6, 5, 1, 3, 5, 6, 6, 4, 4, 2, 3, 2, 3, 2, 1, 3, 4, 6, 5, 6, 2, 1, 4, 4, 4, 2, 4, 5, 1, 6, 3, 5, 2, 3, 4, 5, 1, 3, 5, 3, 5, 4, 5, 6, 6, 4, 6, 2, 5, 6, 5, 3, 1, 6, 1, 1, 3, 4, 3, 2, 2, 4, 5, 2, 4, 2, 2, 6, 3, 5, 6, 1, 1, 5, 2, 4, 6, 2, 6, 4, 2, 3, 5, 5, 6, 6, 6, 4, 1, 6, 4, 1, 3]",L-1 S-62 S-54 S-87 S-64 S-62 S-54 L-51 L-71 L-51 S-17 L-9 S-54 S-64 S-62 
24,"[0, 14, 7, 8, 13, 16, 19, 20, 26, 27, 30, 33, 36, 38, 44, 45, 47, 53, 57, 63, 67, 69, 75, 77, 100]","[4, 3, 1, 5, 3, 3, 1, 6, 1, 3, 3, 3, 2, 6, 1, 2, 6, 4, 6, 4, 2, 6, 2, 3]",L-4 S-17 L-80 
53,"[0, 38, 40, 41, 46, 49, 67, 70, 73, 74, 78, 81, 84, 85, 24, 26, 32, 37, 39, 41, 45, 50, 67, 68, 70, 91, 97, 3, 5, 11, 12, 14, 18, 19, 42, 46, 50, 34, 36, 41, 47, 49, 50, 52, 56, 61, 60, 63, 69, 70, 91, 94, 97, 100]","[1, 2, 1, 5, 3, 2, 3, 3, 1, 4, 3, 3, 1, 2, 2, 6, 5, 2, 2, 4, 5, 1, 1, 2, 1, 6, 6, 2, 6, 1, 2, 4, 1, 2, 4, 4, 4, 2, 5, 6, 2, 1, 2, 4, 5, 3, 3, 6, 1, 1, 3, 3, 3]",L-1 L-51 S-87 L-51 L-71 L-21 S-54 S-64 L-71 
33,"[0, 38, 40, 41, 45, 47, 53, 57, 60, 60, 60, 60, 19, 24, 26, 30, 32, 34, 39, 44, 45, 50, 52, 34, 38, 43, 44, 47, 67, 91, 73, 74, 75, 100]","[1, 2, 1, 4, 2, 6, 4, 3, 4, 4, 4, 2, 5, 2, 4, 2, 2, 5, 5, 1, 5, 2, 2, 4, 5, 1, 3, 4, 4, 2, 1, 1, 5]",L-1 S-64 S-64 S-64 S-62 S-54 L-51 L-71 S-93 L-80 
